d_taxi_pass,d_taxi_dest,rel_dir_taxi_to_pass,action
5,7,2,2
5,9,1,1
3,5,2,4
-1,7,0,0
-1,11,0,0
-1,15,0,3
-1,11,0,0
-1,15,0,0
-1,19,0,5
9,4,1,3
7,9,1,1
3,5,1,2
5,2,1,4
2,2,2,3
4,4,-2,3
4,3,-2,0
4,7,-2,0
8,11,1,3
6,11,1,3
4,7,1,0
8,11,1,0
12,15,1,5
7,7,1,2
7,10,1,0
11,14,1,3
11,11,1,0
15,15,1,4
15,15,1,2
19,19,1,1
15,15,1,1
11,11,1,3
7,7,1,1
3,3,1,1
1,1,-1,2
5,5,2,5
8,9,1,3
8,12,1,3
8,10,1,0
12,14,1,3
12,12,1,1
8,8,2,1
4,4,2,1
8,8,2,3
4,4,-1,4
4,7,-1,0
0,3,0,0
4,7,1,0
8,11,1,0
12,15,1,5
8,10,1,3
8,8,2,3
4,4,1,1
0,0,0,1
4,4,-1,4
4,7,-1,0
0,3,0,2
2,7,-2,0
6,11,1,3
4,7,1,0
8,11,1,0
12,15,1,5
-1,4,0,2
-1,10,0,1
-1,6,0,4
3,3,1,3
7,7,-2,3
5,3,-2,0
9,3,1,0
13,7,1,3
11,6,1,3
9,11,1,1
5,7,1,1
1,3,-2,5
7,7,2,2
5,3,2,2
3,5,2,2
3,5,2,4
-1,7,0,0
-1,11,0,0
-1,15,0,3
-1,11,0,3
-1,13,0,3
-1,7,0,2
-1,13,0,2
-1,11,0,0
-1,15,0,0
-1,19,0,5
4,4,2,0
4,8,2,0
8,12,1,3
8,10,1,3
8,8,2,1
4,4,2,1
8,8,2,3
4,4,-1,4
4,7,-1,0
0,3,0,2
2,7,-2,0
6,11,1,3
4,7,1,0
8,11,1,0
12,15,1,5
-1,13,0,0
-1,17,0,3
-1,14,0,1
-1,10,0,1
-1,6,0,2
-1,9,0,1
-1,5,0,1
-1,3,0,5
-1,3,0,3
-1,2,0,3
-1,5,0,0
-1,9,0,0
-1,13,0,3
-1,9,0,3
-1,11,0,0
-1,15,0,0
-1,19,0,4
15,17,1,1
11,13,1,1
7,9,1,2
7,11,1,0
11,15,1,0
15,19,1,2
15,16,1,1
11,12,1,1
7,8,1,1
3,4,1,2
3,3,1,2
7,7,2,1
5,5,2,5
-1,3,0,0
-1,7,0,0
-1,11,0,0
-1,15,0,0
-1,19,0,4
15,17,1,1
11,13,1,1
7,9,1,2
7,11,1,1
3,7,2,1
5,3,-1,0
3,7,2,0
7,11,1,2
7,8,1,1
3,4,1,1
3,4,-1,2
1,1,-1,2
5,5,2,5
10,10,1,1
6,6,1,2
10,10,1,2
10,12,1,0
14,16,1,0
18,20,1,3
18,18,1,4
23,23,1,1
19,19,1,1
15,15,1,3
13,7,1,3
11,6,1,3
9,11,1,1
5,7,1,1
1,3,-2,5
3,5,-2,0
7,1,1,2
9,9,1,0
13,13,1,2
9,9,1,2
11,13,1,2
13,8,1,1
9,4,1,1
5,2,1,4
2,2,2,3
4,4,-2,3
4,3,-2,0
4,7,-2,0
8,11,1,3
6,11,1,3
4,7,1,0
8,11,1,0
12,15,1,5
20,15,1,1
16,11,1,1
